unnamed: 0_x,sex,row_number,liters_drunk,age,drink,check_number,label,is_alcoholic,session_evening,session_morning,unnamed: 0_y,session_start,session_category
0,0.0,79.0,2.0,senior,Cola,3116,0,0.0,False,True,5385,21:00:00.000,evening
1,1.0,23.0,0.0,child,Fanta,8118,0,0.0,False,False,2527,15:30:00.000,day
2,1.0,92.0,0.0,adult,Fanta,2264,1,0.0,False,False,440,22:15:00.000,evening
3,0.0,52.0,5.0,senior,Beerbeer,7640,1,1.0,False,False,3241,23:42:00.000,evening
4,0.0,57.0,2.0,adult,Beerbeer,8764,0,1.0,False,True,7251,15:30:00.000,day
5,1.0,15.0,1.0,adult,Bugbeer,6235,0,1.0,True,False,2820,08:42:00.000,morning
6,0.0,49.0,0.0,child,Cola,185,1,0.0,True,False,7160,06:00:00.000,morning
7,1.0,33.0,5.0,senior,Fanta,2970,1,0.0,True,False,1711,14:15:00.000,day
8,0.0,5.0,0.0,adult,Water,6494,0,0.0,False,True,8096,14:00:00.000,day
9,1.0,48.0,1.0,senior,Water,9971,1,0.0,False,True,6579,15:30:00.000,day
10,0.0,78.0,2.4767786561264824,senior,Water,3592,0,0.0,True,False,7504,22:15:00.000,evening
11,1.0,32.0,2.0,adult,Strong beer,2021,0,-1.0,False,False,8475,07:00:00.000,morning
12,0.0,12.0,3.0,senior,Cola,5675,1,0.0,True,False,7709,14:15:00.000,day
13,0.0,16.0,5.0,senior,Bugbeer,1637,0,1.0,False,True,7926,15:00:00.000,day
14,0.0,46.0,2.4767786561264824,adult,Strong beer,7830,1,-1.0,False,True,6052,15:00:00.000,day
15,0.0,4.0,3.0,adult,Cola,2174,1,0.0,True,False,3901,21:00:00.000,evening
19,1.0,100.0,2.4767786561264824,child,Cola,2468,0,0.0,True,False,6522,23:42:00.000,evening
20,0.0,40.0,3.0,senior,Water,8793,0,0.0,True,False,3020,07:00:00.000,morning
22,1.0,9.0,4.0,adult,Bugbeer,6079,1,1.0,False,True,16,22:30:00.000,evening
23,1.0,8.0,4.0,senior,Fanta,839,1,0.0,True,False,2178,06:15:00.000,morning
24,0.0,95.0,1.0,senior,Strong beer,1634,1,-1.0,False,True,5401,22:30:00.000,evening
26,1.0,70.0,2.4767786561264824,adult,Fanta,7091,0,0.0,True,False,7257,08:42:00.000,morning
28,1.0,52.0,3.0,adult,Fanta,6992,1,0.0,False,True,7684,23:42:00.000,evening
32,0.0,44.0,4.0,adult,Strong beer,3258,1,-1.0,True,False,4481,07:30:00.000,morning
33,0.0,6.0,5.0,senior,Water,6664,0,0.0,False,True,5042,07:30:00.000,morning
36,0.0,86.0,0.0,senior,Fanta,2104,1,0.0,True,False,1224,21:00:00.000,evening
37,1.0,40.0,4.0,adult,Water,1784,1,0.0,False,False,4220,07:30:00.000,morning
38,0.0,57.0,3.0,adult,Cola,2744,0,0.0,False,True,4146,14:15:00.000,day
39,0.0,82.0,5.0,child,Water,4306,1,0.0,True,False,7026,21:00:00.000,evening
40,1.0,4.0,2.0,adult,Water,814,0,0.0,True,False,6883,14:00:00.000,day
41,1.0,67.0,0.0,adult,Fanta,2285,0,0.0,True,False,9154,23:42:00.000,evening
42,1.0,52.0,3.0,adult,Beerbeer,3395,0,1.0,False,False,8325,15:30:00.000,day
43,0.0,33.0,2.0,senior,Fanta,8192,1,0.0,True,False,2817,06:15:00.000,morning
44,0.0,48.0,2.0,senior,Cola,4185,0,0.0,False,True,6653,14:00:00.000,day
46,1.0,29.0,1.0,adult,Cola,2884,0,0.0,True,False,2122,15:30:00.000,day
47,0.0,34.0,0.0,child,Cola,2506,0,0.0,False,False,9743,15:00:00.000,day
49,1.0,100.0,5.0,adult,Water,9165,1,0.0,False,False,6972,22:15:00.000,evening
50,0.0,96.0,4.0,senior,Fanta,1639,1,0.0,True,False,3803,07:00:00.000,morning
53,0.0,50.0,4.0,adult,Fanta,8911,1,0.0,True,False,7628,08:42:00.000,morning
54,0.0,45.0,2.4767786561264824,senior,Beerbeer,3519,1,1.0,True,False,4016,06:00:00.000,morning
55,1.0,42.0,5.0,senior,Beerbeer,1994,1,1.0,False,False,5606,22:15:00.000,evening
56,1.0,29.0,5.0,senior,Cola,1522,1,0.0,False,True,4860,21:00:00.000,evening
57,1.0,20.0,5.0,senior,Fanta,4966,0,0.0,True,False,2639,07:30:00.000,morning
60,1.0,3.0,4.0,adult,Strong beer,4029,1,-1.0,False,True,5440,22:30:00.000,evening
61,1.0,18.0,1.0,senior,Water,4629,0,0.0,False,False,2753,15:00:00.000,day
63,1.0,96.0,3.0,senior,Beerbeer,1279,0,1.0,False,False,3855,14:00:00.000,day
64,1.0,89.0,3.0,senior,Beerbeer,567,1,1.0,False,False,6409,22:30:00.000,evening
65,1.0,33.0,1.0,senior,Strong beer,3628,1,-1.0,False,False,4321,07:30:00.000,morning
66,0.0,31.0,0.0,senior,Fanta,9976,0,0.0,False,False,1052,15:00:00.000,day
67,1.0,30.0,3.0,senior,Fanta,2632,0,0.0,False,True,9833,14:15:00.000,day
68,0.0,35.0,5.0,senior,Strong beer,1230,1,-1.0,True,False,903,14:00:00.000,day
69,0.0,95.0,2.0,adult,Water,85,0,0.0,True,False,5694,07:00:00.000,morning
70,0.0,53.0,5.0,adult,Fanta,5084,1,0.0,True,False,6645,15:00:00.000,day
72,0.0,95.0,1.0,senior,Beerbeer,3003,1,1.0,False,True,9701,15:00:00.000,day
73,0.0,90.0,2.4767786561264824,adult,Bugbeer,2593,0,1.0,False,False,7113,06:15:00.000,morning
74,0.0,58.0,2.0,senior,Beerbeer,3953,0,1.0,False,True,8110,21:00:00.000,evening
75,0.0,33.0,4.0,adult,Strong beer,6224,1,-1.0,True,False,3141,23:42:00.000,evening
76,0.0,13.0,5.0,senior,Fanta,8053,0,0.0,True,False,7516,22:15:00.000,evening
77,0.0,74.0,0.0,senior,Beerbeer,5697,1,1.0,False,False,9492,07:00:00.000,morning
78,0.0,64.0,2.0,adult,Fanta,3468,1,0.0,False,False,229,21:00:00.000,evening
79,0.0,65.0,4.0,child,Water,6361,0,0.0,False,True,6263,22:15:00.000,evening
80,0.0,55.0,1.0,adult,Fanta,6532,1,0.0,False,True,8343,21:00:00.000,evening
82,1.0,20.0,5.0,senior,Water,8357,0,0.0,True,False,3707,22:15:00.000,evening
84,1.0,29.0,1.0,senior,Cola,8335,0,0.0,True,False,4816,21:00:00.000,evening
85,1.0,78.0,4.0,adult,Water,8632,0,0.0,False,False,5383,22:30:00.000,evening
86,0.0,33.0,4.0,adult,Beerbeer,2025,1,1.0,False,False,7012,23:42:00.000,evening
87,0.0,39.0,5.0,adult,Fanta,3213,0,0.0,False,False,8592,21:00:00.000,evening
88,1.0,88.0,2.0,adult,Bugbeer,9372,0,1.0,False,True,6104,15:00:00.000,day
89,0.0,26.0,4.0,adult,Beerbeer,9127,1,1.0,True,False,4068,22:30:00.000,evening
90,0.0,77.0,5.0,senior,Fanta,7205,1,0.0,False,False,4157,07:30:00.000,morning
